hash_Id,data,label,len
8bbb8dc52a4ef033131c3e38318686f3,睡觉吧你!不困啊你,20000,9
28a7b41158e353d2099972cb377bcd40,有本事你发表情,20000,7
c4e55fac570e40a3c2a9c1860a7e60c7,那开始吧!啵一个,20000,8
2b0d803c8d02232be8b6c75b7fcb71ec,鸡爪子好吃吗,20000,6
4c165eadc4272e879c95d130e84243ad,没有啊,20000,3
899ea2eec05a1c76a3b88983d68a5501,在干啥,20000,3
86d51ce7753a36079041fc15f7248035,呵呵,20000,2
98c2d9a71184d8faf1a39efb107d634d,他有老婆吗,20000,5
5b9bd653dad689c166baee203ca8e979,晚安,20000,2
810a922ce4f2f041ff0b02f7ec738a39,爱情是什么,20000,5
750f6355e7e7d36569c85f5c849eb040,为什么我不是第一个,20000,9
34d7e2a94cd7cd73bb74c5e4ff86ef3e,奥特曼,20000,3
1a8a8e7065f948671eb587e1b9a42979,刘亦菲,20000,3
930f7f27128e5b74213e4550a627cf95,艹泥马,20000,3
dbbb4cb8c37342cd45b890484801e022,赶紧的,20000,3
f12b8cc82e18d630989cf1a365966e8c,护士,20000,2
b949ac79ddf9e0d4b9b4ea830f482c7d,贱贱你困吗,20000,5
2ec7720a0fd8540eefa7db7fce51efef,我就是变态,20000,5
c00ed808b8ca92ed5084e1ddd52b7a9c,点心桌面是神马,20000,7
d35032841821d796619cab8ffbed9526,说说,20000,2
7f4c0d826f36ef2253a6f0d98d36a76a,苍茫的天涯是我的爱下一句是什么,20000,15
a8945a7e379ec7839469a9c5793dfd25,和谁,20000,2
ba0cfc181f401b73202c47c5bfe33a67,呼噜,20000,2
4a91d9f35324b952ab93a00bbee9975e,你真聪明,20000,4
4cbfee411da6fde3a1ea8eee007c4dc1,你吃米么,20000,4
012fda8df09ef0db308c4f15422bd471,猜不出来,20000,4
e885cb9ce2561e0a2de874dd5ac63aca,嗯,20000,1
e76d582b32bb2595f2655f613da49568,那你来吧 小崽子,20000,8
01aca6df8ba9a1322c775bf5ba681f42,你个白眼鸡,20000,5
6d7a26d9c37fc119f659b19105728067,迟到了,20000,3
83619943093f826024e0710582f13405,那你觉得她人怎么样,20000,9
a0e3321eead781a55f8028b45912779f,你是傻叉吗,20000,5
75419fe374a8addc5e493006c4997258,你喜欢么,20000,4
9e0a0b046f5fa083b8789d8f92b5059f,你知道山东财经大学吗,20000,10
13dcc038d6fb0fb2ce97b38fc78c7314,你木有,20000,3
7ed1e94ee3435dba54b5119f11c95a12,你白痴……居然不懂我的心,20000,12
1dec2192eb7d0d91b4afacc2eb40d5e9,寂寞求安慰,20000,5
74203850b797624ee5d98b0f1a303ceb,怎么办,20000,3
dd215529450ad3243e90ee2ceb41fa63,我该去吗,20000,4
7a32e70ced5da80da8f44d966011362d,你说我能不能干区队长,20000,10
bccd92411f0c473cb34745a21456d58d,蛋子,20000,2
f8fc9be93b8cceda33f3039e12e0c1d4,不准,20000,2
bc95d74abec9d1676beff1c056df94e7,你知道你是傻蛋么,20000,8
146b3d47959ffeb4e33d363cd35ab4a4,公厕里扔炸弹,20000,6
e03c19742a7b521d4a48f1517e62d789,怎么爽,20000,3
c66ef4f75cb5414ecba3b73c6180dac1,回答问题 问你哪个学校的研究生怎么样,20000,18
a413f2775fb85e19a8e8477e3e6ac64f,你穿内裤不,20000,5
4dea1d1af99d748348800ebc045d8e83,恶心的,20000,3
6a23e2f95d4d78569ebc121aea47afd9,你欠我钱,20000,4
1cbb7d11696b8a01dfd7a61a58982f4f,怎么了,20000,3
92ac86d723a45685a7f3eb97cf024469,头疼怎么办,20000,5
052a772d365bcdb434dbcaad1c5c8d29,不搞笑,20000,3
03f38f149fd661859cd23dfa19d4805c,你的qq号多少,20000,7
62781077aee023ffff6591b8f65a3727,最好听的名字,20000,6
2138981e10a1db61e4a8d16d53d4c5c0,你和谁是一对,20000,6
e29e6e4272bcace74d3873db0f9feb1e,我喜欢吃烧鸡,20000,6
