10001,CT/n|显示/n|为/p|达/v|枕大池/n|或/c|蛛网膜囊肿/n
10003,乳腺癌/n|有/v|什么/r|自我/r|检查/n|的/uj|方法/n|？/x
10002,老太太/nr|子宫癌/n|，/x|癌细胞/n|侵入/n|淋巴/n|，/x|现/tg|在/p|淋巴/n|已/d|经/n|溃烂/n|，/x|进去/v|晚期/n|，/x|打吊针/i|，/x|打/v|完/v|吊针/n|后/f|，/x|家属/n|给/p|她/r|拔/v|针/n|时/ng|不慎/a|戳/v
10001,大夫/n|您好/l|，/x|我/r|最近/f|耳朵/n|胀痛/n|是不是/l|咽喉癌/n|，/x
10001,做/v|了/ul|纵膈肿瘤/n|手术/n|可以/c|立即/d|进食/n|吗/y|？/x
10002,一/m|周/nr|两个月/n|宝宝/n|得/ud|了/ul|神经母细胞瘤/n|扩散到/n|眼眶/n|肺部/n|肝脏/n|肾脏/n|可以治/n|愈/d|吗/y
10001,乳腺癌/n|手术/n|后/f|吃/v|醋酸甲羟孕酮/n|分散片/n|后/f|出现/v|月/m|经/n
20000,小/a|管/vn
10001,孤立/v|性恶/n|性/n|纤维瘤/n|能治愈/n|吗/y|？/x
20000,我/r|想/v|问/v|你/r|萌/v|不/d|萌/v
10001,左/m|肋骨/n|间/f|叶型/n|软骨肉瘤/n|术后/t|会/v|复发/n|吗/y
20000,点心/v|桌面/n|是/v|神马/n
10002,口底/n|磷癌/n|放疗/n|后/f|还/d|需/v|怎样治/l|疗/n
10001,我/r|的/uj|卵巢囊肿/n|是/v|恶性/n|的/uj|吗/y|？/x
10003,什么/r|是/v|胰腺瘤/n|？/x
10004,喷门/n|胃体腺癌/n|能活多久/n
10003,超声/n|检查/n|如/v|何/r|诊断肝癌/n
10002,中医治疗/n|肝癌/n|好/a|吗/y
10006,病理学/n|选择题/n| /x|~/x|！/x|！/x|！/x
10002,母细胞/n|胶质瘤/n|术后/t|应/v|在/p|饮食/n|注意/n|些/q|什么/r
10002,“/x|子宫颈/n|”/x|鳞状细胞癌/n|2级/n|，/x|请/v|问/n|怎么/r|治疗/n|。/x
10002,骨癌/n|的/uj|治疗/n|措施/n|有/v|哪几种/n
10001,62/m|岁/m|男/n|，/x|患/zg|膀胱肿瘤/n|可/v|以/p|中医治疗/n|吗/y|？/x
10003,北京/n|卵巢癌/n|晚期/n|化疗/n|期间/f|想/v|找/v|个/q|好/a|中/f|医/n
10003,恶性淋巴瘤/n|治愈/n|后生/n|宝宝/n|是否/v|有/v|危险/n|？/x
10002,胆囊癌/n|做/v|了/ul|手术/n|后/f|吃/v|了/ul|中/f|医开/v|的/uj|中药/n|有/v|不良/a|反映/n
10002,淋巴瘤/n|复发/n|怎么办/l|？/x
10003,右侧/n|甲状腺/n|有/v|一/m|25.8/m|*/x|16.4/m|*/x|11.1/m|的/uj|良性肿瘤/n|母乳喂养/vn|会/v|影响/vn|宝宝/n|智商/n|吗/y
10002,周围性/n|软骨肉瘤/n|得/ud|了/ul|这病/r|怎么/r|治疗/n
20000,过年/t|没/v|钱/n|怎么办/l
10002,甲状腺癌/n|用/p|什么/r|中/f|药/n
10001,高分/n|化/n|鳞状细胞癌/n|能治/n|吗/y
10003,恶性/n|卵巢囊肿/n|？/x
10005,乳腺癌/n|生物/n|治疗费用/n|大概/n|需要/v|多/m|少/a|？/x
10003,乳腺癌/n|的/uj|初期/n|是/v|什么/r|症状/n|？/x
