hash_Id,data,label,len
9f528fc657dff16b3384923bf7cc2974,肺复合性神经内分泌癌倾向于小细胞癌,10002,102
dc416ed0b45e5596516e166f5f62539c,甲状腺癌转移吃什么？,10002,60
c22c6bab0a5c887533341b89aeba9935,盆腔癌手术后声音嘶哑怎么办,10002,78
4110dabc6c132a5cb51afdbd8cd35f11,神经母细胞瘤及小圆细胞肉瘤怎样治疗 ...,10002,110
e0cd1c534449adbe9cec75702f85b5d0,肺癌中期转移到淋巴怎么治疗小细胞肺癌草药,10002,120
743be09a631764122316da7f711b71ea,癌症现在能治好吗,10002,48
c38296b0050fb0edce6aa9944b95ee20,怎样防止癌症,10002,36
3614db953be174ff72a70f15c495c7fc,嬰兒纖維瘤病該怎麼治療,10002,66
cb9e4e8999158f1096594c8af6a10088,胆总管癌晚期做了外引流恶心吃不进饭该怎么办？,10002,132
3969833282ce6cfc9402b95163f31433,皮肤癌治愈的几率有多大？,10002,72
7fb014c8680abeb10f36088965fa9968,恶性肿瘤还能治好吗,10002,54
d8bb28edefd240b86313e0123adbd6fe,脑癌晚期化疗后一旦全身疼痛怎么办,10002,96
32543d5443023608155fd117379615d7,神经胶质瘤怎么办,10002,48
9e0c7426ebcfdb49fcdb15162741dd21,涎腺混合瘤能治好吗,10002,54
5a9e5d1dd21b7d484aebcdec0631e7c1,神经鞘瘤的最佳治疗方案和预防方法,10002,96
d83f614000c14bcf8b48d2a3ca234efe,纤维瘤病人术后能吃老母鸡吗？,10002,84
42eba9c789653a6acd2630b5c8d19637,胸顶韧带样纤维瘤病吃什么药可以不在长,10002,108
d43b1510c60bca4375f7630e28434a3d,滑膜肉瘤治得好吗？有治好病例吗,10002,90
db5519003cee934901c3e066a00c1022,神经性纤维瘤病吃什么药能缓解？可以吃排毒素的药吗,10002,144
01569e7fad52761876b84b7be8e6ade4,有没有人知道卵黄囊瘤是怎么回事？国内外有没有治愈的先例？,10002,168
6d38e9609e7dd5d7997acdea4e9f75d0,有谁看见过这么大的神经鞘瘤,10002,78
18d9fbde68b2dd3f0289485cdc71f57e,80岁老人女膀胱癌6个月前膀胱镜下电切后复发,10002,120
6dc9f89feb9f8af0f3a1a776fae9f7f2,甲状腺癌病人吃什么好得快？,10002,78
47dc396fe99c9c2c1df398b74dd3dbf0,胰腺癌转移怎么治疗？,10002,60
809453d5914166a81236cfb6f3d6c827,51岁男性确诊结直肠癌，用爱必妥联合希罗达治疗，效果良好。出现脚底麻木溃疡。医生给用艾沃保湿修护霜，有用吗？,10002,316
292fb2416effce47350808b4123c60b5,69岁，穿刺6针.1-6针均见前列腺癌，4+5(SUM=9).第2.3针可见肿瘤侵犯神经。,10002,186
9857bf5d4afa9dea4a90be1d79e98043,脑血管母细胞瘤手术完又复发了，该怎么办？谁来帮帮我。,10002,156
6cbf1f2d2e5c0561412e1fca4b3fde4b,胃切除3分之2，胃印戒细胞癌术后怎么治疗？淋巴没有转移,10002,154
786810eb60109cc5bf38e9404d8e01b4,长春乳腺纤维瘤治疗费重视认识这类疾病的一些症状是防范的前提？,10002,180
d1ba655f1671cfce35bfebfac8697a85,乳腺纤维腺瘤的治疗方法,10002,66
8f8c16049265debce95569cbd9cec750,一个癌症晚期的20岁青年，他该怎么办？,10002,106
80f1fb995388f5e072c9f211b4d7f10a,局限型间皮瘤能治好吗,10002,60
e075bd43ac94d50c25fbf91794d9da76,神经纤维瘤会随着年龄的增长而增长吗?,10002,104
5614b7ba47591836ef9abd1928eb3388,甲状腺癌用什么中药,10002,54
cdc15061f016ef883e14a0a0c0a58736,癌症肿瘤的问题,10002,42
b4b70f0a3d719196d983cfa2c7c28d6c,乳腺纤维瘤会自愈吗,10002,54
9cb1923c1c33b9466e7fae3eab13d3e9,乳腺纤维瘤这个病需要注意些饮食或者生活上的那些习惯？,10002,156
77174a798aaf5e02844813c2230f64d0,淋巴瘤晚期好的保守治疗方案？,10002,84
3962f727c791589e6c01dacda243dc8d,皮肤癌早期一般是什么症状？如何判断？,10002,108
2e2f3eafc67e001911e247e35afd8775,淋巴管瘤手术后,10002,42
03da8f7cb08d7f2d6db9035baeb8e7f1,19月女孩，神经母细胞瘤手术后，细胞生态学检查报告,10002,142
13ca1d96808c5a519f178ceadc7351f7,膀胱癌手术后复发应该吃什么药?或者怎么办??,10002,120
fe719d09e12fedf3d34cda88ec4a7a6e,中度恶性黏液纤维肉瘤转移到肺怎么治疗【中度恶性黏液纤维肉瘤】,10002,180
8b3012a423392cd581bfcd5df1908f00,小的纤维腺瘤可以手术吗,10002,66
e4b8802566da57ab36ea217c824055dd,脊髓神经鞘瘤术后20天能坐飞机吗？,10002,94
1408b51f0e84195a328b6e5e42149307,有谁需要《亲人疗法治疗肿瘤甚至癌症》.如果有人得的是晚期癌症最好试试（大部分癌症都适合）。,10002,266
58a7a933207d162b1705ed157a1bf2ad,淋巴癌手术后该如何护理效果最佳,10002,90
ab33af12a606584806aac5315e3a21b4,颅内左侧额叶和颞叶之间胶质母细胞瘤进行x刀和化疗无明显效果该咋办,10002,188
6f178e161562a26aa1378d0128dd33ad,脑胶质瘤是怎么得的，该怎么治疗？,10002,96
3f70f2bd9d847fbdb921670c02acbe62,颈部淋巴管瘤术后复发,10002,60
dee1d571044905006e10fd849a7dc2e7,我父亲在十二指肠降部长有一颗12*7.9*5.8肉瘤,10002,116
13472bb67a7c771f9b2638bd128161ec,肺肉瘤样癌化疗,10002,42
286db5929ec678ade753efe5151bef16,帮我看看 畸胎瘤是长在哪了？,10002,80
64ff03cd998c85f51e9ff79fea0781ab,甲状腺癌肺转移,10002,42
471dcd66c4b3ae51c4d4c838154ccc8d,骨瘤癌怎么治才能好,10002,54
03bc3ee148b6b16ae5153b16795465df,8岁女孩，眼眶胚胎型横纹肌肉瘤术后，该如何治疗？,10002,140
